fips,state,total,white,black,native,asian,pac,other,two,hispanic,non_hispanic_white,year
0400000US25,Massachusetts,1365151,970622,129689,2730,88735,0,79179,95561,248457,835472,2019
0400000US26,Michigan,2171229,1574141,343054,13027,65137,0,36911,136787,180212,1456895,2019
0400000US27,Minnesota,1290808,955198,122627,18071,73576,0,36143,85193,114882,891948,2019
0400000US28,Mississippi,710695,368851,300624,4264,6396,0,10660,20610,31981,350373,2019
0400000US29,Missouri,1375240,1058935,181532,5501,24754,2750,26130,77013,93516,998424,2019
0400000US30,Montana,226579,185115,1133,23338,1133,227,2039,13368,14274,176732,2019
0400000US31,Nebraska,471753,386837,26890,6605,10850,472,13209,26890,82557,325038,2019
0400000US32,Nevada,679385,398120,68618,9511,38725,4756,92396,66580,278548,239823,2019
0400000US33,New Hampshire,259038,231580,5699,259,7512,0,2072,11916,16060,219923,2019
0400000US34,New Jersey,1955510,1224149,273771,5867,181862,0,160352,111464,522121,913223,2019
0400000US35,New Mexico,486663,341637,10707,55966,6327,487,42826,29200,292484,117286,2019
0400000US36,New York,4083011,2372229,681863,16332,310309,0,449131,249064,1004421,1972094,2019
0400000US37,North Carolina,2290088,1415274,519850,29771,68703,2290,116794,135115,370994,1195426,2019
0400000US38,North Dakota,175130,139754,6480,14711,2102,175,2452,9457,10333,133974,2019
0400000US39,Ohio,2598908,1956978,376842,5198,54577,0,36385,168929,158533,1858219,2019
0400000US40,Oklahoma,953773,610415,73441,87747,18122,1908,35290,127806,164049,509315,2019
0400000US41,Oregon,864572,679554,19021,12104,31989,4323,38041,79541,190206,551597,2019
0400000US42,Pennsylvania,2650324,1950638,360444,5301,92761,0,82160,156369,318039,1775717,2019
0400000US44,Rhode Island,206622,147528,18389,1033,7025,207,16943,15290,52069,119428,2019
0400000US45,South Carolina,1098664,662494,325205,4395,16480,1099,30763,59328,102176,600969,2019
0400000US46,South Dakota,212613,160310,5741,29341,3189,213,2339,11481,13182,152656,2019
0400000US47,Tennessee,1500878,1076130,285167,3002,27016,1501,36021,72042,144084,978572,2019
0400000US48,Texas,7320250,5263260,885750,36601,307450,7320,483136,344052,3616204,2320519,2019
0400000US49,Utah,920266,773944,12884,10123,13804,8282,54296,46934,162887,680077,2019
0400000US50,Vermont,116073,105975,2321,348,1857,0,696,4991,3134,103769,2019
0400000US51,Virginia,1860502,1151651,372100,3721,111630,1861,68839,150701,254889,997229,2019
0400000US53,Washington,1640318,1115416,68893,24605,113182,13123,113182,193558,347747,928420,2019
0400000US54,West Virginia,367871,332555,13611,368,2575,0,2575,16186,9197,325934,2019
0400000US55,Wisconsin,1278427,993338,112502,14063,43467,0,40910,74149,150854,902569,2019
0400000US56,Wyoming,135736,119448,1357,4615,950,136,2579,6651,19546,104924,2019
0400000US72,Puerto Rico,646189,420023,68496,1292,1292,0,116960,38771,638435,5816,2019
0400000US01,Alabama,1114839,703463,334452,5574,13378,0,22297,36790,71350,657755,2014
0400000US02,Alaska,187397,104568,6371,32607,10119,3186,2061,28484,16116,96135,2014
0400000US04,Arizona,1615920,1169926,77564,90492,40398,3232,132505,98571,699693,664143,2014
0400000US05,Arkansas,705728,507418,131971,4234,9174,2823,22583,26818,79042,456606,2014
